Text,Target
Some self citations may be easily taken out without harming the paper,C
Do we really need concepts and theories to discuss inequalities among young adults?,N
Based on theoretical considerations I don't see a reason to perform these experiments.,N
"Please also consider making the submission looking less like an advertising booklet rather than a research paper—at least, try not to mention the XXX system in every paragraph.",C
The paper raises the suspicion that the author has not been trained as a historian,N
"There is essentially nothing unexpected, although the central observation of [..] is an unexpectedly large and important effect.",N
"This seems like a fishing expedition, please explain why the parameters tested were use for correlation testing? There should be some rational behind all of this, please describe.
 
 
 Figure 5, unclear what is on the y-axis???? Please specify.",N
What do you mean by [name of scientist]'s conception? Don't you mean ideas? [name of scientist]'s conception took place when his mum and dad made him,N
"I see this article as a short distillation of someone's project notebook. When Michelangelo finished his masterpiece on the ceiling of the Sistine Chapel, did he also try to sell the scaffolding as a separate piece of art?",N
"Findings are presented in an anecdotal, descriptive style that I can't interpret.",N
"Not only does this strike me as the worst kind of postmodern legerdemain, but if true the statement would transform ethics into a hopelessly muddled enterprise.",N
This study has the same problem with focusing on a garbage-can group that is not uniformly sampled and has no evolutionary cohesion.,N
"Having edited many things that have come from Germany, Im in Germany now, Im impressed with the quality of English. Im probably misspelling things in these sentences which may add to the humor. ;-) hard to use this kezboard correctly",C
"There is potentially an interesting essay to be written about [x], but this one isn't it",N
"Reviewer 1:
 
 
 Furthermore, the manuscript is very difficult to read due to English problems: combining results and discussion section making it even more confuseReviewer 2: 'The manuscript is poorly written although it can be follow with lots of typos, and a review by a native English speaker is clearly needed.",C
"The fact that something has not been studies is not, in itself, a reason why it should be studied.",N
Reading this made my brain melt. Very true though.,N
The description of the participants is too cryptic.,C
I have followed the work of this group for the last few years and know that their submitted work is usually well polished. That is not the case for the present paper.,N
I showed this paper to my nurses and they agreed there was nothing new reported here.,N
The figure in the supplementary material is a mystery to me. Where did all this sound energy go? It defies the basic laws of physics.,C
"This is a pretty trivial study, sample size is suspiciously high, and the effect is tiny at 5% percent difference (who cares if it is significant).",C
The authors should refer to the super interesting article on this topic in Wikipedia.,C
It is not hard to develop this method…I could write code for this on a rainy afternoon.,N
"To be frank, it was boring to read once one got past the beginning. This is rather ironic given the paper is about humour.",N
One gets the feeling that the references were included for the sake of having something to refer to.,N
"Generally, some extra clarification might be nice to improve clarity…",C
"Also, the manuscript is very tedious and reads like an unedited thesis chapter.",N
"Though less enthused about manuscript's novelty, this reviewer does admire the hardworking of your group.",C
"Also, the authors criticize the approach of [citation of XXX] shortly before introducing their own approach. Seems somewhat hypocritical to me.",C
"The introduction, general approach and data analyses are somewhat anachronistic–this study would have been really interesting 10-15 years ago, but now it seems quite out of date.",N
"The ideas behind the project seem to be a combination of wishful thinking, poor chemical insight and limited understanding of the techniques involved",N
"This is an outline of a paper, and not a fully-thought, well-organized, thoroughly-discussed paper. Maybe because it's a graduate student conference the author decided not to put any time into writing a quality paper that would be accepted in an academic journal.",N
I found every single reading of every theorist mentioned in this article seriously wanting. I will highlight the three most egregious because this review is already getting quite long.,C
this piece…shows no real understanding of history at all,C
"The final section illustrates the paper's poverty. Instead of a summary of the intellectual issues addressed, we are given a series of bland recommendations, the sort of banality that civil servants write for their masters' speeches. It has no place in a serious academic journal.",C
This is a pointless paper. It offers neither interesting new data nor cogent explanation,C
Data is presented as though it were reliable observation when it could equally well be described as unwarranted slander,C
The introduction seems pointless. It offers some odd views,N
"Your piece is very well written and researched. I think the is interesting, but not particularly useful.",C
I do not believe or trust the data presented or the underlying thesis.,C
"That run-on, one sentence paragraph is perhaps the most egregious example of how the author needs to take more time and slow down structure at the grammatical level. More importantly, the author needs to slow down the process of research, reflection, and logical argumentation.",C
this is where the real problems start,N
This is an area ripe for future research.,C
This was a well-written study that upon my first reading appeared flawless.,N
The stimulus is artificially produced and therefore irrelevant.,C
There are many stylistics phrases to tidy which you can find yourself,C
The concluding 'takes a village' sentence is also a bit unoriginal.,C
"This paper is conceptually unclear, and the causal argument/hypotheses are muddled. In short, it is a mess. I stopped reading after page 7.",C
"There is a lot of terminology flung around here that is insufficiently explained. What exactly is meant, for example, by “false negative” and “false positive” rates? “median, first quartile, and third quartile”?",C
"This interesting effort reminds one of the biblical tale of trying to extract water from a stone in the desert; from this metaphor, you may gather that we conclude that the effort did not yield useful data.",C
default settings'?? huh???,N
Have you no command of the English language?,N
You make the reader feel uneducated,N
"Since this is a model formulation paper, there does not need to be a Results section, but if there were, the paper would be easier to follow. There really is no formulation of a model",C
"Although this study, an original work and repetition of earlier feature of these studies is similar. Writing language is quite a lot of grammatical errors",C
You haven't reflect all relevant studies.,C
"I appreciated how the author seemingly had in mind that a goodly percentage of
 
 
 the readership are not native speakers, so anything too academic
 
 
 or erudite might be lost on them.",N
The main problem is that it does not fit the intuition about what should work.,N
"In the end, even after writing a summary of the argument, I am not sure what is the thesis of the essay (or whether there is one) or how and why its parts are connected if I disregard any private knowledge of the topic",C
"It is not clear how the of data presented in Figures 1, 2, 4, 5, 6, 7, 8, S1, and S2 was quantified and analyzed.",C
This submission looks more like an advertising booklet rather than a research paper.,N
"Unfortunately the manuscript is not well structured and the English is very poor. Usually I would attempt to improve this, but in this case the entire manuscript needs to be reworked – starting with the tittle.",C
"This paper must be rejected, because the work it describes is clearly impossible.",N
I retain in my files an anonymous referee's report on an earlier paper that relies heavily on this item. The report stops just short of urging revocation of my degree,N
"The manuscript is generally interesting, however, too narrow in its scope for us. Also, the paper is badly written, and poorly organized. In its current form, the paper cannot be accepted. The paper is poorly written or poorly thought-out. I think the paper is poorly written and most of its statements are wrongly and poorly motivated.",C
the authors seem to be reinventing the wheel and a flat tire to go along with it.',N
"If published, uneducated and misinformed statements like this would jeopardize the credibility of [name of journal].",C
"Reviewer: 1Comments to the AuthorThis study is weak. not innovation (That is their entire review, on a paper that is an R&R from everyone else)",C
The authors past work (which is related closely to this) has gained some attention in the community: most of this is due to the wrong reasons.,N
"Returning to the introduction, the study rationale is unclear, the exact research question to be addressed poorly delineated and the overall motivation for the study poorly linked to the literature summary and aims of the study.",C
The arguments in the paper are compelling but not convincing.,N
"I thought that the author might be trying to ""have it both ways.â€ To be clear, this was just a passing thought and frankly, I read the manuscript about two weeks ago and don't remember the context, nor did I cross-walk one part of the essay with another to validate the thought.",N
... all I can say is that the author is blissfully unaware of what a standard is - in linguistic terms - and does not have the linguistic competence to describe it.,C
To improve this you need to be more robust on all fronts etc.,C
"...the whole premise just reverted the biosensor field back 20yrs, which has been my biggest single concern regarding this paper.",C
Despite promising a very general result this manuscript unfortunately does not deliver (almost) any of the things listed in the abstract.,C
2. [Paper Strengths]: None,N
"The turn of phrase ""reaching out into the worldâ€; is again just a vague rhetorical equivocation that is meant to add a semblance of an intellectual air to the text, a rhetorical attempt at being in fashion, but it dissolves only in empty intellectualism.",N
Is this a joke?,N
"Indeed, the article as a whole shows a lack of sophistication and nuance that is diagnostic of the particular genre of thought pieces on the need for studying sex differences that it falls within",C
At least I say it to your face and sign my name,N
"While I personally enjoyed this contribution, I cannot escape the sense that this is much ado about very little, to paraphrase Shakespeare.",N
"I read the first 6 pages of the paper. [...] Sorry, I can't finish reading this paper. I certainly will not recommend anyone else.",N
"I also added back in the two lines on p.16 that you'd inexplicably deleted. If there's a reason for their deletion, let me know.",C
This is a very weak paper trying to bend things to build a relationship that does not exist (...) Stating X is totally wrong and your data does not support that and no model can state this.,C
"Strictly speaking, the manuscript shall be rejected in its current form if submitted for a journal.",N
This is a confusing paper...,N
This was the moment when I stopped reading. Obviously the authors are not familiar with the research field.,N
The authors have not bothered to learn the first thing about the theories they are hoping to refute with ill-designed experiments and muddled rationale.,C
"If I never see another piece of writing started with these lines, it will still be too soon.",N
"If this was taken from a successfully defended thesis, as it appears to have been, then he should not have been awarded a PhD",N
"The title appears to me to be clickbait, and, as usual for clickbait, leads to disappointment.",N
"Maybe the clarity of stating the problem, purpose, method, finding, conclusion, and recommendation could be tweaked. Otherwise, congratulations on an outstanding contribution.",C
This literature review is nothing more than a merry dance around the books,N
"The text is overly expansive, desultory, and often diaphanous, so that the raison d'Ãªtre of an overarching theoretical structure is neither pellucid nor convincing.",C
The results look like a smorgasbord of data,C
"Despite the apparently impeccable arrangement of the essay, with headings and sub-headings, the progression of argument is not always transparent, often hindered by otiose wording.",C
"Indeed, by the end of the paper, the reader is left with a feeling of 'so what now?'",N
"If participants were recruited from a university, I imagine they would usually be 18-22 years old. Why does your sample range from 18 to 63? I'm a bit lost here.",C
"The fact that the question of this paper has never been askedÂ should, on balance, count against the paper.",N
This paper does not offer a revolutionary breakthrough.,C
Is this really a discovery or just the confirmation of math?,C
"I'm really sorry about this reviewer. If you'd like, I can get you a new one.",N
"References are incomplete, listing only year and not volume, page numbers, etc. The lack of attention to this detail is a pet peeve.",N
Large parts of the manuscript read now more like a Master thesis than a scientific paper. I hope that the more experienced co-authors - if there are any - can help with this aspect of style.,N
"Do we need to clarify the meaning of, ""allâ€?",N
"While an interesting concept, in its current form, the approach taken is fundamentally inadequate and flawed for almost all use cases.",C
"There is too much detail provided which is not relevant to the paper, or any for that matter.",N
I don't see much science in this manuscript.,N
"I haven't read the word ""audacityâ€ yet in commenting on my reviews, so that is a first.",N
My major concern to accept this work-in-progress paper is that these findings areÂ not super interesting to readers in my opinion.,N
My summary assessment of the paper is as follows: Introduction: Poor Background: Poor Methods: Poor Results: Poor Discussion: Poor Conclusions: Poor Overall assessment: Poor Recommendation: Reject Further Comments: Why was this submitted to a journal?,N
"claiming 'insights' that rarely amount to very much beyond the bleeding obvious. [..] the problem with jargon is that ""any idiot can pick it up and have a go",N
"By the end of the paper, I was left with the impression that the lid had been lifted off a big can of worms, but that the worms had not been picked out for proper dissection. Maybe it is unfair to expect that this could be achieved, due to the excessive number of worms involved in the matter.",N
I apologize for this but frankly some parts read like a report of aÂ high-school student on a scientific experiment.,N
"The entire paper reads a bit like someone who has searched around the social scientific research literature without much authentic understanding of social science, social scientific research methodology, Â or statistical analyses",N
"Which means that, as the saying goes, if their results are correct they cannot be new, and if they are ""newâ€ they cannot possibly be correct.Frankly, it is hard to say which is the case",N
The authors are perpetuating misguided generalizations in the face of substantial experimental data to the contrary,C
"Since the paper is mathematically empty and, compared withÂ the conference version, provides no new ideas or findings, in general, I see no reason why it should be publishedÂ in a journal as well.",N
Recommendation: Publish elsewhere Comments: [none],N
"The paper comes with proofs, but - at a first glance - they seem to be more cute than useful.",N
"We invited 18 reviewers and after quite a long time, only one reviewer had agreed. That review is now many days overdue and we don't expect it to be returned. Unfortunately at this point we have to assume there is a lack of interest and we don't want to keep your paper in review any longer.",N
"I really don't like to be harsh in my reviews, but...",N
"Are the ""10 random reps"" chosen at random?",N
The Discussion section ofÂ the paper is neither informative nor enlightening and is certainlyÂ theoretically questionably,C
"The word ""assesâ€ should read ""assessâ€",N
"The authors are permitted to believe what they want to, but the data did not support ""important implications.â€",C
"This article describes [XY]Â, a research project investigating methods forÂ educational game design. The paper is poorly written"".[full review]",N
In other words: the referee thinks this work is stuck in the past.Â The referee would rather talk about the future - some of the seniorÂ co-authors were the future once!,C
"This manuscript uses half of the available pages, and fails to explain what has been done, how and why",N
Reviewer #1: 'The project can hardly be described as high risk/high gain' Reviewer #3: 'The project is clearly high risk/high gain,N
N/A. (Full review text),N
"It is at best of little value and, in the worst case, irrelevant and offensive",N
"This is a well-intentioned but naÃ¯ve and unscholarly presentation of a point of view that is not well-supported by evidence - a polemic, not a review",C
"Reading this paper, I am struck by the elegance and clarity of the writing and the ideas. I found myself thinking, ""such a simple and obvious idea â€” why didn't I think of that?",C
"I perused this manuscript while in the hotel prior to a friend's wedding. I was suspicious that a state of relaxation had influenced my enjoyment of a paper on soil formation; so I read it again, this time squashed between two large people on the delayed flight home, and still enjoyed reading it.",N
"Qualitative tracing, correlational variables' - what are they?",C
"The authors are also treating what might be called a ""boutiqueâ€ version within a model that is already considered by many to be a ""boutiqueâ€ model.",N
"I was originally very excited to review this paper, since such a bridge would span uncharted lands - here be dragons! High was my expectation, and so much deeper was my disappointment",N
"This paper is baffling [...]Â In particular, I have not looked at all at section 2 of the paper",C
"In addition, I would suggest either activating the spellchecker on Word, or keeping the cat from walking on your keyboard.Â I think one of your words was previously employed as a Thunder in ""Finnegan's Wake",N
"It will be a fantastic work if the authors could deeply presented the dominating of study discussed in detail and less overstaffed on the majority of studies discussed, which may give necessary details in tables to show their similarities or differences, as well as, advantages or disadvantages by your own letters.",C
"Figure 1. What does ""Minâ€ in panel c stand for?",C
"The ms comes over very much like a group of old wise menÂ sitting around mulling over the terrible state of the world, and openingÂ their hands and saying: well, what can we do about all these terribleÂ things around us",N
"I think there is a general problem with the overall goal of this study and area of research. This seems to be making data usage a critical thing people should be paying attention to. People have real issues and I am not at all sure that this one deserves attention. They have real concerns like, are they going to lose their job, where should their children go to college, should they encourage their elderly parents to move into a retirement center.",N
What is disturbing is that the author was not adequately supervised or otherwise assisted by faculty at her institution. They failed her completely in providing oversight and input. Young and inexperienced researchers should never be placed in a position of subjecting themselves to the painful rigors of critical reviews without guidance prior to submitting.,N
"Comment 19 I am not sure why there is a full section about limitations, this in itself says a lot about the study.",C
"It is early in the year, but difficult to imagine any paper overtaking this one for lack of imagination, logic, or dataâ€”it is beyond redemption",N
"The journal editor stated that our manuscript was rejected. We were shocked that the reviewer's comments read ""fuck youâ€ (handwritten on a torn strip of paper scotch-taped to the editor's letter to us)",N
They show they can account for 20% of the variance. NoÂ wonder. The usually accepted level is 50% to be useful.,C
Find your inner nerdâ€”it must be a big part of youâ€”bind and gap it and then dump it in the ocean tied to a large rock.,N
"Did all 5 authors say,""Yes, this is a piece of work I am proud to have my name on?",N
"It is clear that the author has read way too much and understood way too little. Many of the most serious errors are more or less just copied out from what he has read, so it is hard to know how to deal with such cases. Sprinkled here and there are some things, also taken from his readings, that are more or less correct. But it is all very confused.",N
"Please respond to the Reviewer 2's comments, who suggested Rejection of the paper' ReviewerÂ Comments to the Author: None. #missionimpossible",N
"This application for a postdoctoral fellowship has few strengths other than the applicant's dogged and stubborn effort to do studies he conceptualized much earlier in his career and for which he has struggled to find a home. ... His letters of recommendation contain, at best, faint praise and mainly focus on his stubborn determination to pursue his long-term goal.",N
"Please also consider making the submission looking less like an advertising booklet rather than a research paperâ€”at least, try not to mention the XXX system in every paragraph.",C
"This seems like a fishing expedition, please explain why the parameters tested were use for correlation testing? There should be some rational behind all of this, please describe. Figure 5, unclear what is on the y-axis???? Please specify.",C
"Reviewer 1: Furthermore, the manuscript is very difficult to read due to English problems: combining results and discussion section making it even more confuseReviewer 2: 'The manuscript is poorly written although it can be follow with lots of typos, and a review by a native English speaker is clearly needed.",C
"The introduction, general approach and data analyses are somewhat anachronistic-this study would have been really interesting 10-15 years ago, but now it seems quite out of date.",N
"There is a lot of terminology flung around here that is insufficiently explained. What exactly is meant, for example, by ""false negativeâ€ and ""false positiveâ€ rates? ""median, first quartile, and third quartileâ€?",C
"Since this is a model formulation paper, there does not need to be aÂ Results section, but if there were, the paper would be easier to follow. There really is no formulation of a model",C
"I appreciated how the author seemingly had in mind that a goodly percentage of the readership are not native speakers, so anything too academic or erudite might be lost on them.",N
"Unfortunately the manuscript is not well structured and the English is very poor. Usually I would attempt to improve this, but in this case the entire manuscript needs to be reworked - starting with the tittle.",C
"This is a misleading paper, badly executed and negligently written'",N
This is a terrible sentence. It has so many different things in it and not enough punctuation.,C
"This part is a little repetitive from what you said earlier. I can see that there are some variation, but it feels repetitive when reading it.",C
"I'm sorry, but I'm reading this thinking, we've already heard about that, you're telling us again and now you're telling me I'm going to hear about it again in the next chapter.",C
"There is no research methodology, no data, no model, no significant analysis and no conclusions which arise from the study'",C
The description of sampling technique is too long and boring!,C
Nothing new or ground breaking is discussed in this tutorial,N
It is clear that this manuscript will not win a beauty contest. There are still many awkward sentences that make me feel like listening to someone that scratches a glass plate with an iron nail,N
The authors must know the difference between scientific research and 'news clip' for the Sunday newspaper.,N
This information is utterly useless and would not worth any publication at all.,N
Rev 1: The paper is generally well written (the English is good) Rev 2: A proof reading by a mother tongue would improve readability.,C
"These theoretical results have not been verified experimentally. Therefore, they are wrong",C
"When the author -and I'll refer to you as the author despite the effort you have put into ensuring that I know who you are - writes that there has been no new models in this area for 20 years, [lack of relevance] is the reason.",N
"This paper has about the same relevance as a paper in astronomy which places the earth as the centre of the university - while it can be made to look plausible, the basic premises is WRONG.",N
[H] did a few sloppy experiments and attached his name to the great pioneering work by [P]. He should not be mentioned.,N
"I still find this to be a very difficult paper to read, with many possible alternate explanations for [paper topic]. But it would take me a long time to try and figure this out, so I am approving publication.",C
"Considering by the end of the paper I had no idea what was being said, I don't believe the paper was successful in its argument. In fact, it felt like the author was merely saying the same thing over and over again but with synonyms.",N
"Although there are obvious differences in male/female ratios between patients and controls, the failure to find differences between males and females may be a type II error",C
I was somewhat disappointed after reading the MS,N
"I could not find any passage in the MS that would explain to me what is the exact novel idea, proposal, argument or hypothesis",C
"The proposed research requires a set of knowledge related to a*, b*, c, d, e*, f*, g*, h* and i*. The candidate has not demonstrated to me the required knowledge in any of the starred areas. Even in the other areas I am not sure that her knowledge will be deep enough.",N
The interchangeably use of evaluate and validate is a concern because it is not clear if authors know the difference between these two 'verbs',C
Pleasepleaseplease with sugar on top remove sentences that sound like Hegelian light bulb moments while not meaning anything in the context of your empirical study.,C
"Nothing changes in our collective research programs as a result of this work. Still, the work is well done and needs to appear somewhere in the literature.",N
This paper contains neither theory nor research.,N
There are not enough headings.,N
This proposal left me cold,N
"Concerning the discussion, again the merits of the work are downplayed to a point that it's almost pathetic!",N
"The accompanying simulation movie is neither interesting, nor particularly beautiful.",N
Presented paper has 13 pages and 26 adequate references. The paper seems to be very interesting.,N
I would suggest that you do some homework and redirect this work to an actual new and novel and mechanistic work and test it against real world data,C
proposal language is frightfully unclear.,C
I stopped reading here.,N
"I recommend the authors drop these assertions and predictions. The motivation for the present work, then, becomes an effort to characterise the effects. Unfortunately, this revised scope is more limited.",C
"I found the paper a challenge to evaluate, expecting some profound methodological or theoretical insight. Yet none appeared to be forthcoming.",C
"Your footnote is unnecessary, and indeed confusing. Where did you get the word ""oftentimesâ€ from? We are in the 21st century now.",C
It would be charitable to call this a comparison of apples and oranges. It's more like steak and bicycle.,N
I counted 15 uses of 'clear'Â or 'clearly.' That's one per page. 'Clearly' the results aren't as clear as the author would like them to be.,C
"So, in summary: the paper is oblique to the entire current literature, it fails to relate such investigations as it reports to the current literatures of the questions to which it claims to be relevant, and it actually acknowledges (in its own last sentence) that the history of the field has simply passed it by. It is as if the grant that it acknowledges for support was awarded in 1990 instead of, oh, 2010 or so.",C
They arbitrarily rule out models with interactions but without corresponding main effects. Etc.,C
"In the interest of being helpful, my suggestion is that the authors go back and review what is involved in the scientific method. An essential step in the scientific method is posing hypotheses and/or asking questions, and that step is completely lacking in this study.",C
"Looking at the general poor quality of the paper, I'm surprised by the list of the co-authors",N
This code sample cannot be adequately described without the use of strong language.,C
The author is tilting at windmills.,N
"The authors presents a flurry of statistics, but they do not explain why or how those are relevant to the study.",C
"A good deal of effort has been expended here, but to what end?",N
"I have three main objections to this paper: it is self-contradictory, it is functionally obsolete, and it has been submitted to the wrong kind of journal.",C
"the conclusions of this paper are then groundless since they are based on this trivial but critical misunderstanding. Unfortunately, it has to be remarked that papers such as this, lacking any knowledge of the basic concepts of astronomy and physics, should never be published in any scientific journal with referees.",N
Among the topics to be subject to the integrity of attention needs to be work related to the subject of innovation does not.,C
Reviewer #1: the conclusions are supported by the results and discussion. Reviewer #2: The main inconvenience of the paper is that the conclusions are not supported by the experimental results.,C
"The use of the word ""surgeriesâ€ to mean ""surgical proceduresâ€ instead of a surgeon's office is a linguistic atrocity of a magnitude similar to ""irregardlessâ€ or ""I could care less",C
The paper is ill-informed and poorly argued. It is not suitable in my view for this or any other journal.,N
This paper does not contain information that could make a scientific proposal.,N
We note that you may well have completed an interesting study with an appropriate research design and methods but the manuscript in its current form does not convey that.,C
I am sympathetic to what the author is trying to do here,N
It is not clear what the author wants to accomplish.,N
This whole paper is wildly speculative and needlessly convoluted.,N
revise this paper at your own risk,N
"It was hard to bite myself through, but in the back I found some meat.",N
The authors merely used somewhat bigger guns than previous studies and generatedÂ nothing but more smoke.,N
it is not clear whether important new insights will be gleaned - it cannot be clear until the final product of his research is reviewed.,N
Perhaps my greatest criticism of the paper is the tendancy of the authors to make an argument and then to almost immediately contradict themselves repeatedly.,N
"First, unless my statistics is failing me, a less than 1.0 SD is not significant.",C
"The text is at several places marred by conceptual messiness, careless reasoning, sloppyÂ phrasing and inadequate acquaintance with the relevant literature",C
"In addition, your figures are provided at 72 dpi, which is fine for children's games, but professional quality images require 300 dpi. Also, the images should be cropped to the actual image area (not embedded in a sea of white space).",C
SURELY THE AUTHORS CAN COME UP WITH A BETTER REFERENCE THAN WIKIPEDIA TO SUPPORT THEIR POINT HERE!,C
The authors do not control for the height of their subjects in their experiment. What they call prejudice against women may be argued to be prejudice against shorter people,C
"Using the question in the first paragraph of the introduction is not functional in my opinion, as are the words 'inner workings'.",C
This paper is fluently written and meticulously researched. I do not recommend it for publication.,N
The regression analysis is rubbish. Let's see what happens when you do this properly.,C
Neither research nor science,N
English need to be corrected by an english speaker,C
Reviewer 1: The questions in the reviewer comments have been addressed properly in the revised manuscript. I have no more comment before publication. Reviewer 2: I totally agree with the reviewer 1 that this paper is still difficult to read even after revision.,N
(although I admit that here is a possibility they might turn out to be correct in that they are guessing right),N
The whole piece presents a non-argument. It simply confirms something self-evident and dresses it up as remarkable by building up a straw man that is duly demolished.,N
"Poorly connected and thinly reported anecdotes are reported as though they represent detailed and searching ethnography, and then jargon-riddled assertions are made as though the meagre data substantiate the claims.",N
Are you kidding?,N
"I am concerned that the author is not getting the advice that she needs in order to produce a publishable paper, and I hope that my comments are read in the spirit in which they are intended; that is, constructive criticism to produce a better final product.",N
The results of the study are adequately justified.,C
"Overall, this paper goes to significant amounts of trouble to accomplish something that is already well established as a technique in a less elegant manner than is currently employed. This paper should not be published.",N
"It is difficult to see the merits of this proposal, and it is doubtful whether the author has the necessary command of primary and secondary sources to contribute anything to this area of research",N
"Unfortunately the paper itself is full of so many fundamental misunderstandings, I don't even know where to begin in criticizing it.",N
"However the paper has several fundamental flaws that give it little or no value as a thoughtful piece of research or reflection contributing new knowledge, perspectives or suggesting solutions to an important area of human endeavor.",N
"This will never work: Negative reviews of famous, ground-breaking papers. http://www.fang.ece.ufl.edu/reject.html"">http://www.fang.ece.ufl.edu/reject.html",N
"Although no ground-shaking breakthroughs are made, it is worthy of publication",N
The standard of writing (including spelling and grammar) is also satisfactory.,C
"I was only able to get a single reviewer and rather than make you wait longer, I decided to use the single review and my own independent reading. Unfortunately, my own reaction differed from the reviewer's reaction (scroll down below my signature). That is, the reviewer reacted positively whereas I reacted negatively and it is my reaction that counts.",N
Clearly you can tell that I have become distracted by the style of reporting results. I have in fact given up trying to find the real biological trends in the results.,N
"I invite the authors to provide compelling, coherent, and quantitative data.",C
I think the N-mixture modeling should be abandoned: it is clear that they [the authors] do not understand this class of models,C
"The abstract proposes the identification of requirements of a future digital infrastructure based on intelligent transportation systems (whatever this is). However, this aim is not fulfilled by the paper'",C
This inclusion criteria is not needed due to the fact to be in a master program they would be legal adults. Please remove and adjust anywhere that this shows up.,N
"This paper is so bad, it would take an entire 20 page paper to describe all the problems it has. And even after that I'm not sure it would be worth publishing.",N
"However, in my view the research question being asked is not very clear, the treatment of the dataset is not very thorough, and the conclusions are rather trivial or even self-contradictory.",C
Authors rarely followed the advices,N
"DO NOT have your heroes set the villain on FIRE. It's actually considered a war crime, and it is a very gruesome experience leaving horrific scars and affecting health for the rest of your life. It tends to make the heroes look like major arses.",N
"This sounds nice, but in fact it is vague. There are many instances of this kind of nice-sounding vagueness.",N
It is not even wrong,N
"The manuscript can be much kinder to those who are unfamiliar with, or not interested in, the issue.",N
"The opinion expressed in the MS is highly biased and patriotically motivated, and is not suitable for publication in this journal.",N
My argument against it as a full paper is that it makes an incremental contribution to the state of the science.,N
"Even though the objective of the paper pretends to be ambitious, there are a significant number of problems that limit the study's usefulness.",N
"Although this is a well written paper, it reminded me more of an essay that someone might write for a lit theory class rather than a generative scientific review.",N
"I am pretty sure that there are a number of mistakes, but I gave up pointing out them all because even the author apparently doesn't consider this manuscript as a good scientific presentation.",N
...this paper is extremely lengthy and tedious with respect to its importance and relevance.,C
"I hope you update soon, because I really wanna know what happens next, and how far you are willing to take the potential deconstruction.",N
"I believe that there are important questions in this area, questions that have intellectual merit, but the PI has not found any to study here",N
"This piece offers nothing new...is poorly written, analytically weak and repeatedly inaccurate.",N
"The paper brings to mind the Mark Twain quote: 'I didn't have time to write a short letter, so I wrote a long one instead.'",N
"The paper is grossly over referenced, and reads a little like a student trying to impress a supervisor that a lot has been read, rather than a mature and parsimonious use of citations. The conclusions are hardly world shattering.",C
"[The manuscript's] tone is occasionally too casual, a bit too winking in a David-Foster-Wallace-ish kind of way. This is unfortunately borne out all too clearly in the author's self-presentation on his website, whose home page is inappropriate if not offensive as a professional introduction.",N
Based on these my recommendation would be that the present manuscript cannot be published in this or any other journal.,N
Startlingly naive and jejeune. Obviously a poorly tailored master's thesis.,N
A blizzard of extraneous data external information should be culled.,C
This last version is riddled with redundant information and circular phrases.,N
"""I am not inclined towards suggesting acceptance, simply because I have not enough elements to do so.â€Significance: 7/10 Soundness: 8/10 Theoretical and Empirical Analysis: 8/10 Presentation: 9/10",C
"The paper is blithely silent on the kinds of issues that occupy yards of library shelf-space, [and goes] well beyond what is warranted by the data.",N
"This paper is definitely not suitable to PNAS, or, for that matter to any other journal.",N
"Firstly, the framing of the research question is entirely flawed",C
"Not now, not ever.",N
I certainly agree [with your point] here but please do not justify it with all the selectivley chosen and largely incorrect arguments above,C
This is a rather pedestrian treatment of a popular and well-reported topic,N
Too mathematically inclined.,N
Despite my negative overall rating I encourage the authors to continue their research in this area but also suggest reading How to Design and Report Experiments by Field and Hole beforehand.,C
This is rubbish!!!,N
"Once I penetrated the pigeon English, I found very little substance underneath.",N
The author has re-invented lukewarm water. This is all naive philologising.,N
I am not very excited about this. There must be better ways to spend your money.,N
Some idea of strategies to define general populations for studies might be helpful both to the reader and to help the authors avoid their meaningless generalities.,C
I do not trust the data or the underlying thesis.,N
This paper still reads in places more like alternative fan-fiction than scholarship.,N
"There may be a good paper crying to be let out of this manuscript but if so, it is hard to know. The language, not to mention the overuse of symbols, is so dense that one quickly loses track of what was actually measured, what was invented or assumed, and what is being discussed.",C
"While it is true that the authors are under no ""legalâ€ obligation to cite these results, as they are unpublished, they are probably morally obliged to consider what they tell us in comparison with their own results.",C
It was agonizing for this reviewer to read a total of nine pages describing the overall methods.,N
Come on please!!!,N
"Why don't you just send copies of this to the two people in the world who care about it, and forget the publication route?",N
"This is a heretofore unobserved result and is very interesting, but is not novel.",N
"My comments indicate, primarily, a concern that you understand the nature of this case study design and the proper role of your case-specific theoretical argumentation, on the one hand, and the case-specific research data, on the other.",C
"As I understand it, you already have good evidence (you've said as much on Facebook). There's no reason to leave this as an open question when you know the answer.",C
"This is a nicely done paper but the sample is small, the measures uninformative, and the findings have only very weak relevance to policy or practice. Nothing much one can do about these flaws.",C
"I stopped reading the subsequent data reports carefully, because I no longer had confidence that they would be accurate.",C
The project is lack of interest.,N
Table 2 stunningly over-interprets some relatively small signals in the data.,C
"Reviewer 1: 'I really enjoyed reading the introduction'Editor in chief: 'In line with Reviewer 1's comments, the introduction does not a good job of citing the important historical litterature and putting this study in context'",C
"I think this article is carefully argued, but at no moment is it stated that Heidegger was a Nazi.",N
A classic instance of reinvention of the square wheel.,N
It is shocking to read how statistics are being misused just for the sake of being able to write something... I rate this article as very un-scientific...,N
The conclusion is something of a shaggy dog.,C
The derivation is correct but too simple! The paper is therefore not suitable for a general readership.,N
